"","V1","ave_sentiment"
"1","['emco', 'locat', 'link', 'kkm', 'kementeriankesihatanmalaysia']",0
"2","['former', 'head', 'australian', 'coal', 'associ', 'iandunlop', 'say', 'submarin', 'china', 'wi']",0
"3","['govt', 'track', 'reach', 'goal', 'vaccin', 'onethird', 'popul', 'midoctob', 'nepal', 'four']",0
"4","['cnn', 'video', 'pandem', 'compar']",0
"5","['need', 'get', 'booster', 'shot', 'indefinit']",0
"6","['worker', 'benefit', 'face', 'murki', 'expir', 'date', 'amid', 'fourth', 'wave', 'financ', 'busi', 'econom']",0
"7","['thing', 'that', 'gon', 'na', 'happen', 'thing']",0
"8","['aew', 'announc', 'vaccin', 'polici', 'wednesday', 'dynamit']",0
"9","['two', 'death', 'western', 'nsw']",0
"10","['former', 'head', 'australian', 'coal', 'associ', 'iandunlop', 'say', 'submarin', 'china', 'wi']",0
"11","['capit', 'amen', 'eg', 'open', 'space', 'beach', 'hous', 'price', 'chang', 'lockdown']",0
"12","['tnt', 'state', 'statu', 'tntthenortheasttoday', 'northeast', 'meghalaya', 'assam', 'tripura', 'arunachalpradesh']",0
"13","['johnsonampjohnson', 'projectverita', 'alexjonesisright']",0
"14","['bridgeston', 'arena', 'go', 'digit', 'requir']",0
"15","['updat', 'condit', 'case', 'myanmar', 'sepcoup', 'myanmarcovidso', 'chevronstopsponsoringsac']",0
"16","['india', 'report', 'smallest', 'rise', 'death', 'sinc', 'midmarch']",0
"17","['highvalu', 'laboratori', 'test', 'hospit', 'patient', 'review']",0
"18","['hey', 'alittlehc', 'order', 'beat', 'need', 'come', 'togeth', 'weve', 'done', 'face', 'na']",0
"19","['vaccin', 'ivermectin', 'medcram', 'dr', 'roger', 'seheult']",0
"20","['let', 'use', 'older', 'definit', 'want', 'vaccin', 'stimulat']",0
"21","['tiktok', 'delet', 'video', 'student', 'document', 'myocard', 'follow', 'vaccin']",0
"22","['chine', 'whistleblow', 'drop', 'bombshel', 'origin', 'news', 'wire']",0
"23","['tnt', 'nation', 'statu', 'tntthenortheasttoday', 'northeast', 'meghalaya', 'assam', 'tripura', 'arunachalpradesh']",0
"24","['never', 'tri', 'dyk', 'still', 'need']",0
"25","['india', 'report', 'le', 'daili', 'case', 'day']",0
"26","['biden', 'receiv', 'booster', 'urg', 'american', 'get', 'vaccin']",0
"27","['let', 'togeth', 'kareem', 'abduljabbar', 'vaccin', 'psa']",0
"28","['famili', 'guy', 'vaccin', 'awar', 'psa', 'famili', 'guy']",0
"29","['three', 'doctor', 'nine', 'nurs', 'contract', 'taraba']",0
"30","['origin']",0
"31","['australian', 'abl', 'test', 'home', 'novemb']",0
"32","['cuba', 'begun', 'commerci', 'export', 'homegrown', 'vaccin', 'send', 'shipment', 'threedos', 'abdala', 'shot']",0
"33","['look', 'vaccin', 'administ', 'sept']",0
"34","['mu', 'health', 'data', 'show', 'vaccin', 'statu']",0
"35","['mean', 'peopl', 'go', 'mean', 'peopl', 'one', 'philosoph']",0
"36","['kenya', 'posit', 'rate', 'drop', 'pc']",0
"37","['origin']",0
"38","['philippin', 'administ', 'least', 'million', 'shot', 'metro', 'manila', 'least', 'million', 'peopl']",0
"39","['origin']",0
"40","['vaccin', 'ingredi']",0
"41","['find', 'guy', 'famili']",0
"42","['australia', 'still', 'th', 'world', 'vaccin', 'coverag', 'rise']",0
"43","['get', 'togeth']",0
"44","['philippin', 'administ', 'least', 'million', 'shot', 'metro', 'manila', 'least', 'million', 'peopl']",0
"45","['australia', 'still', 'th', 'world', 'vaccin', 'coverag', 'rise']",0
"46","['get', 'togeth']",0
"47","['death', 'oct', 'obviou', 'deflect', 'trend', 'seri', 'stat']",0
"48","['look', 'case', 'hospit', 'util', 'updat', 'sept']",0
"49","['yo', 'doubl', 'lung', 'transplant', 'contract', 'total', 'cost', 'tra']",0
"50","['roqu', 'report', 'million', 'dose', 'administ', 'date', 'million', 'filipino', 'ful']",0
"51","['administr', 'vaccin', 'dose', 'last', 'hour', 'india', 'vaccin', 'coverag', 'cro']",0
"52","['know', 'larg', 'impact', 'crypto', 'market', 'compani']",0
"53","['india', 'report', 'le', 'daili', 'case', 'day', 'india', 'covidindia']",0
"54","['roqu', 'say', 'vaccin', 'child', 'also', 'start', 'octob']",0
"55","['thread']",0
"56","['zimbabw', 'updat', 'septemb']",0
"57","['got', 'fourth', 'vaccin', 'today', 'sinopharm', 'earli', 'pfizer', 'countri', 'hav']",0
"58","['india', 'administ', 'crore', 'vaccin', 'dose', 'fifth', 'time', 'month', 'u', 'presid', 'joe', 'biden', 'ge']",0
"59","['latest', 'arizona']",0
"60","['obviou', 'deflect', 'trend', 'seri', 'stat', 'interact', 'dataviz']",0
"61","['india', 'report', 'le', 'daili', 'case', 'day']",0
"62","['peopl', 'almost', 'unvaccin', 'unvaccin', 'staff', 'like', 'sprea']",0
"63","['caus', 'ed']",0
"64","['famili', 'guy', 'vaccin', 'awar', 'psa', 'famili', 'guy']",0
"65","['daniel', 'kraft', 'transform', 'futur', 'medicin', 'ted']",0
"66","['minnesota', 'bought', 'warehous', 'last', 'year', 'state', 'prepar', 'worst', 'case', 'scenario', 'death']",0
"67","['roqu', 'say', 'vaccin', 'child', 'also', 'start', 'octob', 'liv']",0
"68","['social', 'distanc', 'thane', 'station']",0
"69","['yall', 'want', 'pfizer', 'vaccin', 'your', 'look', 'lowvolum', 'site', 'drive', 'kitant', 'p', 'al']",0
"70","['india', 'report', 'le', 'daili', 'case', 'day', 'health', 'therealtalk']",0
"71","['bradley', 'beal', 'said', 'definit', 'think', 'get', 'vaccin', 'still', 'remain', 'unvaccin']",0
"72","['autoantibodi', 'sever']",0
"73","['get', 'togeth']",0
"74","['vaccin', 'india', 'cross', 'crore', 'mark', 'fifth', 'time', 'namo', 'app']",0
"75","['sri', 'lanka', 'daili', 'case', 'count', 'drop', 'yesterday', 'first', 'time', 'nearli', 'three', 'month', 'sr']",0
"76","['werent', 'think', 'peopl', 'unvaccin', 'alberta', 'man', 'time', 'icu']",0
"77","['specif', 'law', 'requir', 'person', 'vaccin', 'blanket', 'vaccin', 'polici', 'condit']",0
"78","['updat', 'vaccin', 'avail', 'statesut', 'crore', 'vaccin', 'dose', 'provid', 'statesut']",0
"79","['distribut', 'selftest', 'kit', 'household', 'complet', 'singpost']",0
"80","['play', 'iber', 'maravi', 'olart']",0
"81","['acceler', 'fourth', 'industri', 'revolut']",0
"82","['vaccin', 'india', 'cross', 'crore', 'mark', 'fifth', 'time', 'namo', 'app']",0
"83","['biden', 'got', 'booster', 'live', 'tv', 'take', 'report', 'question']",0
"84","['australian', 'abl', 'test', 'home', 'novemb']",0
"85","['listen', 'that', 'nadia', 'mattiazzo', 'act', 'ceo', 'speak', 'vaccin', 'roll']",0
"86","['philippin', 'administ', 'least', 'million', 'shot', 'metro', 'manil']",0
"87","['australia', 'pas', 'million', 'vaccin', 'administ', 'mean']",0
"88","['india', 'report', 'le', 'daili', 'case', 'day']",0
"89","['covidv', 'covidau', 'covidau']",0
"90","['india', 'report', 'le', 'daili', 'case', 'day']",0
"91","['vaccin', 'india', 'cross', 'crore', 'mark', 'fifth', 'time', 'namo', 'app']",0
"92","['chine', 'whistleblow', 'drop', 'bombshel', 'origin']",0
"93","['mean', 'long', 'think', 'bat', 'soup', 'wet', 'market', 'origin', 'also', 'never', 'arg']",0
"94","['convers', 'pregnanc', 'matern', 'newborn', 'health', 'specialist', 'st', 'episod']",0
"95","['buy', 'visitorsinsur']",0
"96","['get', 'togeth']",0
"97","['live', 'updat', 'u', 'reach', 'vaccin', 'mileston']",0
"98","['uk', 'mhra', 'vaccin', 'yellow', 'card', 'report', 'pfizerbiontech', 'sept']",0
"99","['jai', 'hind', 'jai', 'bharat', 'vaccin', 'india', 'cross', 'crore', 'mark', 'fifth', 'time']",0
"100","['famili', 'member', 'patient', 'reportedli', 'threaten', 'doctor', 'wouldnt', 'treat', 'ivermectin']",0
"101","['take', 'comparison', 'mer', 'year', 'back']",0
"102","['moderna', 'st', 'dose', 'moderna', 'nd', 'dose', 'sputnikv', 'nd', 'dose', 'lka', 'srilanka', 'covidsl', 'covidlk']",0
"103","['india', 'report', 'le', 'daili', 'case', 'day', 'india', 'indiafightscovid']",0
"104","['uk', 'mhra', 'vaccin', 'yellow', 'card', 'report', 'astrazeneca', 'sept']",0
"105","['u', 'adult', 'taken', 'least', 'dose', 'vaccin', 'cdc', 'reuter']",0
"106","['end']",0
"107","['four', 'million', 'dose', 'sinopharm', 'vaccin', 'purchas', 'peopl', 'republ', 'china', 'arriv']",0
"108","['low', 'test', 'vic', 'like', 'mani', 'case']",0
"109","['india', 'report', 'le', 'daili', 'case', 'day']",0
"110","['orient', 'shg', 'member', 'ma', 'member', 'sahiya', 'vaccin', 'cab', 'routin', 'immun', 'malnut']",0
"111","['incom', 'vari', 'farm', 'household', 'disaggreg', 'size', 'land', 'hold', 'state']",0
"112","['updat', 'total', 'case', 'current', 'case', 'death']",0
"113","['move', 'test', 'clinic', 'home', 'part']",0
"114","['ass', 'dashboard']",0
"115","['medium', 'bulletin', 'till', 'south', 'tripura', 'district', 'nd', 'wave']",0
"116","['region', 'assames', 'morn', 'news', 'hour']",0
"117","['time', 'get', 'vaccin', 'health', 'depart', 'make', 'hous', 'call']",0
"118","['vaccin', 'india', 'cross', 'crore', 'mark', 'fifth', 'time', 'namo', 'app']",0
"119","['vaccineswork', 'sciencematt']",0
"120","['get', 'togeth']",0
"121","['orient', 'pri', 'member', 'shg', 'member', 'sahiya', 'vaccin', 'cab', 'routin', 'immun', 'malnutri']",0
"122","['antibodi', 'test', 'need', 'know', 'antibodi']",0
"123","['india', 'report', 'le', 'daili', 'case', 'day']",0
"124","['die', 'gloriou']",0
"125","['list', 'locat', 'today', 'test', 'camp', 'southdelhifightscorona', 'coronatest']",0
"126","['jake', 'youv', 'obvious', 'done', 'homework', 'come', 'vaccinerel', 'side', 'effect']",0
"127","['haywood', 'counti', 'report', 'anoth', 'six', 'death', 'news']",0
"128","['vaccin', 'india', 'cross', 'crore', 'mark', 'fifth', 'time', 'namo', 'app']",0
"129","['japan', 'czar', 'omi', 'shigeru', 'appear', 'press', 'wear', 'mask', 'nostril', 'tri', 'push']",0
"130","['orangecounti', 'number', 'hospit', 'drop', 'slightli', 'accord', 'recent', 'data', 'releas']",0
"131","['singapor', 'updat', 'jump', 'case', 'despit', 'percent', 'vaccin', 'restrict', 'reintroduc']",0
"132","['vaccin', 'india', 'cross', 'crore', 'mark', 'fifth', 'time', 'namo', 'app']",0
"133","['that', 'get']",0
"134","['covidtrack', 'india', 'tuesday', 'report', 'le', 'case', 'first', 'time', 'sinc', 'march']",0
"135","['imagin', 'vaccin', 'develop', 'govern', 'mandat', 'allow', 'get']",0
"136","['harri', 'counti', 'vaccin', 'incent', 'program', 'set', 'end']",0
